,host_material,semiconductor_2,semiconductor_3,semiconductor_1_pct,semiconductor_2_pct,co_catalyst,co_catalyst_wt_pct,form,structure,bandgap_eV,full_catalyst,preparation_semiconductor,calcination_temp_semiconductor_C,calcination_time_semiconductor_h,preparation_photocatalyst,calcination_temp_photocatalyst_C,calcination_time_photocatalyst_h,light_type,light_source_type,light_power_W,light_power_reported,wavelength_cutoff_nm,is_xe_lamp,is_hg_lamp,is_led,is_uv,is_visible_light,catalyst_loading_g_L,catalyst_loading_mg,catalyst_loading_reported,reaction_volume_mL,glycerol_concentration_v_pct,glycerol_concentration_std,glycerol_concentration_reported,temperature_C,pH,HER_reported,HER_std_umol_g_h,DOI,source_url,paper_title,journal,year,authors,data_quality_flag,data_quality_note,confidence_HER,confidence_loading,confidence_volume,confidence_light,confidence_wavelength,confidence_pH,confidence_bandgap,metadata_completeness_score,experiment_hash,semi_bandgap_eV,semi_electron_affinity_eV,semi_dielectric,semi_crystal,semi_density,cocat_work_function,cocat_d_band_center,cocat_atomic_radius,cocat_electronegativity,cocat_price,log_HER
24,tio2,,,100.0,,ag,1.0,nanotube,anatase-rutile,2.28,1wt%ag/tio2,,,0.0,impregnation,450.0,5.0,visible,,300.0,300 w,,0,0,0,0,1,0.2,10.0,0.2 g/l,50.0,5.0,0.6847,5 vol%,25.0,,12457 μmol g⁻¹ h⁻¹,12457.0,10.1002/cphc.201301140,https://doi.org/10.1002/cphc.201301140,production of hydrogen by glycerol photoreforming using binary nitrogen–metal-promoted n-m-tio2 photocatalysts,chemphyschem,2014.0,taylor and m. mehta and a. samokhvalov,needs_review,light source='artificial' too vague; set to null; catalyst loading calc: 0.2 g/l × 50.0 ml = 10.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; doi resolved via crossref api,high,medium,high,low,low,low,high,0.5,45e9e557a4fb3158,3.2,4.21,86.0,1.0,3.89,4.26,-4.3,144.0,1.93,4.0,9.430118265814091
23,tio2,,,100.0,,ag,1.0,nanotube,anatase-rutile,2.28,1wt%ag/tio2,,,0.0,impregnation,450.0,5.0,visible,,300.0,300 w,,0,0,0,0,1,0.15,7.5,0.15 g/l,50.0,5.0,0.6847,5 vol%,25.0,,16508 μmol g⁻¹ h⁻¹,16508.0,10.1002/cphc.201301140,https://doi.org/10.1002/cphc.201301140,production of hydrogen by glycerol photoreforming using binary nitrogen–metal-promoted n-m-tio2 photocatalysts,chemphyschem,2014.0,taylor and m. mehta and a. samokhvalov,needs_review,light source='artificial' too vague; set to null; catalyst loading calc: 0.15 g/l × 50.0 ml = 7.50 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; doi resolved via crossref api,high,medium,high,low,low,low,high,0.5,7fb08a2c7335933d,3.2,4.21,86.0,1.0,3.89,4.26,-4.3,144.0,1.93,4.0,9.711660965727868
509,pbtio3,,,100.0,,pt,0.6,nanosheets,,2.42,0.6wt%pt/pbtio3,sol-gel,450.0,4.0,photodeposition,,0.0,visible,xe lamp,500.0,500 w,420.0,1,0,0,0,1,2.0,400.0,2 g/l,200.0,10.0,1.3693,10 vol%,25.0,,4199.6 μmol g⁻¹ h⁻¹,4199.6,10.1016/j.ceramint.2020.06.271,https://doi.org/10.1016/j.ceramint.2020.06.271,bi2o3/g-c3n4 nanocomposites as proficient photocatalysts for hydrogen generation from aqueous glycerol solutions beneath visible light,ceramics international,2020.0,alhaddad et al.,needs_review,catalyst loading calc: 2.0 g/l × 200.0 ml = 400.00 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; doi resolved via crossref api,high,medium,high,high,medium,low,high,0.5,cac5363a7a954a3c,3.4,3.5,150.0,7.0,7.99,5.65,-2.25,139.0,2.28,5.0,8.342982651211207
508,pbtio3,,,100.0,,pt,0.6,nanosheets,,2.42,0.6wt%pt/pbtio3,sol-gel,450.0,4.0,photodeposition,,0.0,visible,xe lamp,500.0,500 w,420.0,1,0,0,0,1,1.5,300.0,1.5 g/l,200.0,10.0,1.3693,10 vol%,25.0,,3576.8 μmol g⁻¹ h⁻¹,3576.8,10.1016/j.ceramint.2020.06.271,https://doi.org/10.1016/j.ceramint.2020.06.271,bi2o3/g-c3n4 nanocomposites as proficient photocatalysts for hydrogen generation from aqueous glycerol solutions beneath visible light,ceramics international,2020.0,alhaddad et al.,needs_review,catalyst loading calc: 1.5 g/l × 200.0 ml = 300.00 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; doi resolved via crossref api,high,medium,high,high,medium,low,high,0.5,188fc47f44810cb1,3.4,3.5,150.0,7.0,7.99,5.65,-2.25,139.0,2.28,5.0,8.182503365357116
507,pbtio3,,,100.0,,pt,0.6,nanosheets,,2.42,0.6wt%pt/pbtio3,sol-gel,450.0,4.0,photodeposition,,0.0,visible,xe lamp,500.0,500 w,420.0,1,0,0,0,1,1.0,200.0,1 g/l,200.0,10.0,1.3693,10 vol%,25.0,,2706.6 μmol g⁻¹ h⁻¹,2706.6,10.1016/j.ceramint.2020.06.271,https://doi.org/10.1016/j.ceramint.2020.06.271,bi2o3/g-c3n4 nanocomposites as proficient photocatalysts for hydrogen generation from aqueous glycerol solutions beneath visible light,ceramics international,2020.0,alhaddad et al.,needs_review,catalyst loading calc: 1.0 g/l × 200.0 ml = 200.00 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; doi resolved via crossref api,high,medium,high,high,medium,low,high,0.5,68cf68507f393abd,3.4,3.5,150.0,7.0,7.99,5.65,-2.25,139.0,2.28,5.0,7.9038179126344525
506,pbtio3,,,100.0,,pt,0.6,nanosheets,,2.42,0.6wt%pt/pbtio3,sol-gel,450.0,4.0,photodeposition,,0.0,visible,xe lamp,500.0,500 w,420.0,1,0,0,0,1,0.5,100.0,0.5 g/l,200.0,10.0,1.3693,10 vol%,25.0,,1341.3 μmol g⁻¹ h⁻¹,1341.3,10.1016/j.ceramint.2020.06.271,https://doi.org/10.1016/j.ceramint.2020.06.271,bi2o3/g-c3n4 nanocomposites as proficient photocatalysts for hydrogen generation from aqueous glycerol solutions beneath visible light,ceramics international,2020.0,alhaddad et al.,needs_review,catalyst loading calc: 0.5 g/l × 200.0 ml = 100.00 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; doi resolved via crossref api,high,medium,high,high,medium,low,high,0.5,7299b82a91c070a9,3.4,3.5,150.0,7.0,7.99,5.65,-2.25,139.0,2.28,5.0,7.20213983949359
557,tio2,,,100.0,,pt,1.0,nanoparticle,anatase-brookite,,1wt%pt/tio2,,,0.0,photodeposition,,0.0,visible,xe lamp,100.0,100 w,420.0,1,0,0,0,1,0.97,1164.0,0.97 g/l,1200.0,4.5,0.6162,4.5 vol%,30.0,,18960 μmol g⁻¹ h⁻¹,18960.0,10.1016/j,https://doi.org/10.1016/j,needs_verification,catalysis today,2024.0,"herrera-beurnio m, c. et al.",ok,"catalyst loading calc: 0.97 g/l × 1200.0 ml = 1164.00 mg; glycerol std: (4.5/100×1261)/92.09 = 0.6162 m; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff)",high,medium,high,high,medium,low,low,0.5,76184561e1940cdb,3.2,4.21,86.0,1.0,3.89,5.65,-2.25,139.0,2.28,5.0,9.850139517034204
556,tio2,,,100.0,,pt,1.0,nanoparticle,anatase-brookite,,1wt%pt/tio2,,,0.0,sol-gel,400.0,2.0,visible,xe lamp,100.0,100 w,420.0,1,0,0,0,1,0.08,96.0,0.08 g/l,1200.0,4.5,0.6162,4.5 vol%,30.0,,19212 μmol g⁻¹ h⁻¹,19212.0,10.1016/j,https://doi.org/10.1016/j,needs_verification,catalysis today,2024.0,"herrera-beurnio m, c. et al.",ok,"catalyst loading calc: 0.08 g/l × 1200.0 ml = 96.00 mg; glycerol std: (4.5/100×1261)/92.09 = 0.6162 m; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff)",high,medium,high,high,medium,low,low,0.5,c34ea4d249ee0708,3.2,4.21,86.0,1.0,3.89,5.65,-2.25,139.0,2.28,5.0,9.8633424122317
555,tio2,,,100.0,,pt,0.5,nanoparticle,anatase-brookite,,0.5wt%pt/tio2,,,0.0,sol-gel,400.0,2.0,visible,xe lamp,100.0,100 w,420.0,1,0,0,0,1,0.08,96.0,0.08 g/l,1200.0,4.5,0.6162,4.5 vol%,30.0,,41281 μmol g⁻¹ h⁻¹,41281.0,10.1016/j,https://doi.org/10.1016/j,needs_verification,catalysis today,2024.0,"herrera-beurnio m, c. et al.",ok,"catalyst loading calc: 0.08 g/l × 1200.0 ml = 96.00 mg; glycerol std: (4.5/100×1261)/92.09 = 0.6162 m; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff)",high,medium,high,high,medium,low,low,0.5,82e3d29386224bdd,3.2,4.21,86.0,1.0,3.89,5.65,-2.25,139.0,2.28,5.0,10.628181848594203
158,tio2,,,100.0,,cu,1.0,nanoparticle,anatase-rutile,2.75,1wt%cu/tio2,,,0.0,impregnation,450.0,5.0,visible,,400.0,400 w,,0,0,0,0,1,2.0,100.0,2 g/l,50.0,5.0,0.6847,5 vol%,25.0,,12700 μmol g⁻¹ h⁻¹,12700.0,10.1021/jp107405u,https://doi.org/10.1021/jp107405u,highly stabilized and finely dispersed cu2o/tio2: a promising visible sensitive photocatalyst for continuous production of hydrogen from glycerol: water mixtures,the journal of physical chemistry c,2010.0,lalitha et al.,needs_review,catalyst loading calc: 2.0 g/l × 50.0 ml = 100.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; doi resolved via crossref api,high,medium,high,low,low,low,high,0.5,43509e06b564e155,3.2,4.21,86.0,1.0,3.89,4.65,-2.67,128.0,1.9,2.0,9.44943600950432
157,tio2,,,100.0,,cu,1.0,nanoparticle,anatase-rutile,2.74,1wt%cu/tio2,,,0.0,impregnation,350.0,5.0,visible,,400.0,400 w,,0,0,0,0,1,2.0,100.0,2 g/l,50.0,5.0,0.6847,5 vol%,25.0,,11900 μmol g⁻¹ h⁻¹,11900.0,10.1021/jp107405u,https://doi.org/10.1021/jp107405u,highly stabilized and finely dispersed cu2o/tio2: a promising visible sensitive photocatalyst for continuous production of hydrogen from glycerol: water mixtures,the journal of physical chemistry c,2010.0,lalitha et al.,needs_review,catalyst loading calc: 2.0 g/l × 50.0 ml = 100.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; doi resolved via crossref api,high,medium,high,low,low,low,high,0.5,7ed5c5c825f1350c,3.2,4.21,86.0,1.0,3.89,4.65,-2.67,128.0,1.9,2.0,9.38437770918244
156,tio2,,,100.0,,cu,0.5,nanoparticle,anatase-rutile,2.62,0.5wt%cu/tio2,,,0.0,impregnation,450.0,5.0,uv,hg lamp,400.0,400 w,,0,1,0,1,0,2.0,100.0,2 g/l,50.0,5.0,0.6847,5 vol%,25.0,,41632 μmol g⁻¹ h⁻¹,41632.0,10.1021/jp107405u,https://doi.org/10.1021/jp107405u,highly stabilized and finely dispersed cu2o/tio2: a promising visible sensitive photocatalyst for continuous production of hydrogen from glycerol: water mixtures,the journal of physical chemistry c,2010.0,lalitha et al.,needs_review,catalyst loading calc: 2.0 g/l × 50.0 ml = 100.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; doi resolved via crossref api,high,medium,high,high,low,low,high,0.5,697966e8b93b2a1e,3.2,4.21,86.0,1.0,3.89,4.65,-2.67,128.0,1.9,2.0,10.636648401008383
155,tio2,,,100.0,,cu,0.5,nanoparticle,anatase-rutile,2.51,0.5wt%cu/tio2,,,0.0,impregnation,350.0,5.0,uv,hg lamp,400.0,400 w,,0,1,0,1,0,2.0,100.0,2 g/l,50.0,5.0,0.6847,5 vol%,25.0,,43105 μmol g⁻¹ h⁻¹,43105.0,10.1021/jp107405u,https://doi.org/10.1021/jp107405u,highly stabilized and finely dispersed cu2o/tio2: a promising visible sensitive photocatalyst for continuous production of hydrogen from glycerol: water mixtures,the journal of physical chemistry c,2010.0,lalitha et al.,needs_review,catalyst loading calc: 2.0 g/l × 50.0 ml = 100.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; doi resolved via crossref api,high,medium,high,high,low,low,high,0.5,d55588e97325dfe0,3.2,4.21,86.0,1.0,3.89,4.65,-2.67,128.0,1.9,2.0,10.671417477539759
154,tio2,,,100.0,,cu,0.5,nanoparticle,anatase-rutile,2.83,0.5wt%cu/tio2,,,0.0,impregnation,450.0,5.0,visible,,400.0,400 w,,0,0,0,0,1,2.0,100.0,2 g/l,50.0,5.0,0.6847,5 vol%,25.0,,20060 μmol g⁻¹ h⁻¹,20060.0,10.1021/jp107405u,https://doi.org/10.1021/jp107405u,highly stabilized and finely dispersed cu2o/tio2: a promising visible sensitive photocatalyst for continuous production of hydrogen from glycerol: water mixtures,the journal of physical chemistry c,2010.0,lalitha et al.,needs_review,catalyst loading calc: 2.0 g/l × 50.0 ml = 100.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; doi resolved via crossref api,high,medium,high,low,low,low,high,0.5,14fee0a93d031f74,3.2,4.21,86.0,1.0,3.89,4.65,-2.67,128.0,1.9,2.0,9.906532910722088
153,tio2,,,100.0,,cu,0.5,nanoparticle,anatase-rutile,2.79,0.5wt%cu/tio2,,,0.0,impregnation,350.0,5.0,visible,,400.0,400 w,,0,0,0,0,1,2.0,100.0,2 g/l,50.0,5.0,0.6847,5 vol%,25.0,,16500 μmol g⁻¹ h⁻¹,16500.0,10.1021/jp107405u,https://doi.org/10.1021/jp107405u,highly stabilized and finely dispersed cu2o/tio2: a promising visible sensitive photocatalyst for continuous production of hydrogen from glycerol: water mixtures,the journal of physical chemistry c,2010.0,lalitha et al.,needs_review,catalyst loading calc: 2.0 g/l × 50.0 ml = 100.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; doi resolved via crossref api,high,medium,high,low,low,low,high,0.5,3b78a79257201842,3.2,4.21,86.0,1.0,3.89,4.65,-2.67,128.0,1.9,2.0,9.711176264112805
734,zno,zns,,,,,,nanorod,,,zno/zns,sonication,,0.0,hydrothermal,,0.0,visible,xe lamp,350.0,350 w,420.0,1,0,0,0,1,1.0,50.0,1 g/l,50.0,10.0,1.3693,10 vol%,5.0,,208 μmol g⁻¹ h⁻¹,208.0,10.1016/j.apsusc.2018.05.004,https://doi.org/10.1016/j.apsusc.2018.05.004,photocatalytic hydrogen production from glycerol solution at room temperature by zno-zns/graphene photocatalysts,applied surface science,2018.0,chang et al.,needs_review,"catalyst loading calc: 1.0 g/l × 50.0 ml = 50.00 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; co_catalyst set to 'none': bare semiconductor; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff); doi resolved via crossref api",high,medium,high,high,medium,low,low,0.5,5b7c87b2c7c6216c,3.37,4.35,8.5,3.0,5.61,0.0,0.0,0.0,0.0,0.0,5.342334251964811
733,zno,,,100.0,,,,nanorod,,,zno,sonication,,0.0,hydrothermal,,0.0,visible,xe lamp,350.0,350 w,420.0,1,0,0,0,1,1.0,50.0,1 g/l,50.0,10.0,1.3693,10 vol%,25.0,,38 μmol g⁻¹ h⁻¹,38.0,10.1016/j.apsusc.2018.05.004,https://doi.org/10.1016/j.apsusc.2018.05.004,photocatalytic hydrogen production from glycerol solution at room temperature by zno-zns/graphene photocatalysts,applied surface science,2018.0,chang et al.,needs_review,"catalyst loading calc: 1.0 g/l × 50.0 ml = 50.00 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; co_catalyst set to 'none': bare semiconductor; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff); doi resolved via crossref api",high,medium,high,high,medium,low,low,0.5,a1680d5026d07591,3.37,4.35,8.5,3.0,5.61,0.0,0.0,0.0,0.0,0.0,3.6635616461296463
732,zno,,,100.0,,,,nanorod,,,zno,sonication,,0.0,hydrothermal,,0.0,visible,xe lamp,350.0,350 w,420.0,1,0,0,0,1,1.0,50.0,1 g/l,50.0,10.0,1.3693,10 vol%,15.0,,26 μmol g⁻¹ h⁻¹,26.0,10.1016/j.apsusc.2018.05.004,https://doi.org/10.1016/j.apsusc.2018.05.004,photocatalytic hydrogen production from glycerol solution at room temperature by zno-zns/graphene photocatalysts,applied surface science,2018.0,chang et al.,needs_review,"catalyst loading calc: 1.0 g/l × 50.0 ml = 50.00 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; co_catalyst set to 'none': bare semiconductor; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff); doi resolved via crossref api",high,medium,high,high,medium,low,low,0.5,cc0f7055311ae919,3.37,4.35,8.5,3.0,5.61,0.0,0.0,0.0,0.0,0.0,3.295836866004329
731,zno,,,100.0,,,,nanorod,,,zno,sonication,,0.0,hydrothermal,,0.0,visible,xe lamp,350.0,350 w,420.0,1,0,0,0,1,1.0,50.0,1 g/l,50.0,10.0,1.3693,10 vol%,5.0,,12 μmol g⁻¹ h⁻¹,12.0,10.1016/j.apsusc.2018.05.004,https://doi.org/10.1016/j.apsusc.2018.05.004,photocatalytic hydrogen production from glycerol solution at room temperature by zno-zns/graphene photocatalysts,applied surface science,2018.0,chang et al.,needs_review,"catalyst loading calc: 1.0 g/l × 50.0 ml = 50.00 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; co_catalyst set to 'none': bare semiconductor; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff); doi resolved via crossref api",high,medium,high,high,medium,low,low,0.5,c0d2c360dc832a29,3.37,4.35,8.5,3.0,5.61,0.0,0.0,0.0,0.0,0.0,2.5649493574615367
730,tio2,ag2o,,95.0,,,,nanocomposite,anatase-rutile,2.85,tio2/ag2o,hydrothermal,,0.0,impregnation,400.0,4.0,uv,hg lamp,400.0,400 w,,0,1,0,1,0,0.1,5.0,0.1 g/l,50.0,5.0,0.6847,5 vol%,25.0,,3298 μmol g⁻¹ h⁻¹,3298.0,10.1016/j.ijhydene.2014.07.073,https://doi.org/10.1016/j.ijhydene.2014.07.073,experimental design as a tool to study the reaction parameters in hydrogen production from photoinduced reforming of glycerol over cds photocatalyst,international journal of hydrogen energy,2014.0,bastos et al.,needs_review,catalyst loading calc: 0.1 g/l × 50.0 ml = 5.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,high,0.5,208b0e2a95c59eb3,3.2,4.21,86.0,1.0,3.89,0.0,0.0,0.0,0.0,0.0,8.101374671228582
729,tio2,ag2o,,96.0,,,,nanocomposite,anatase-rutile,,tio2/ag2o,hydrothermal,,0.0,impregnation,400.0,4.0,uv,hg lamp,400.0,400 w,,0,1,0,1,0,0.1,5.0,0.1 g/l,50.0,5.0,0.6847,5 vol%,25.0,,5300 μmol g⁻¹ h⁻¹,5300.0,10.1016/j.ijhydene.2014.07.073,https://doi.org/10.1016/j.ijhydene.2014.07.073,experimental design as a tool to study the reaction parameters in hydrogen production from photoinduced reforming of glycerol over cds photocatalyst,international journal of hydrogen energy,2014.0,bastos et al.,needs_review,catalyst loading calc: 0.1 g/l × 50.0 ml = 5.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,low,0.5,740b4ed37c66abf8,3.2,4.21,86.0,1.0,3.89,0.0,0.0,0.0,0.0,0.0,8.575650760987806
728,tio2,ag2o,,97.0,,,,nanocomposite,anatase-rutile,2.95,tio2/ag2o,hydrothermal,,0.0,impregnation,400.0,4.0,uv,hg lamp,400.0,400 w,,0,1,0,1,0,1.0,50.0,1 g/l,50.0,5.0,0.6847,5 vol%,25.0,,3229.6 μmol g⁻¹ h⁻¹,3229.6,10.1016/j.ijhydene.2014.07.073,https://doi.org/10.1016/j.ijhydene.2014.07.073,experimental design as a tool to study the reaction parameters in hydrogen production from photoinduced reforming of glycerol over cds photocatalyst,international journal of hydrogen energy,2014.0,bastos et al.,needs_review,catalyst loading calc: 1.0 g/l × 50.0 ml = 50.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,high,0.5,1ab97fe2b882abd3,3.2,4.21,86.0,1.0,3.89,0.0,0.0,0.0,0.0,0.0,8.080423157479657
727,tio2,ag2o,,97.0,,,,nanocomposite,anatase-rutile,2.95,tio2/ag2o,hydrothermal,,0.0,impregnation,400.0,4.0,uv,hg lamp,400.0,400 w,,0,1,0,1,0,0.5,25.0,0.5 g/l,50.0,5.0,0.6847,5 vol%,25.0,,2298.3 μmol g⁻¹ h⁻¹,2298.3,10.1016/j.ijhydene.2014.07.073,https://doi.org/10.1016/j.ijhydene.2014.07.073,experimental design as a tool to study the reaction parameters in hydrogen production from photoinduced reforming of glycerol over cds photocatalyst,international journal of hydrogen energy,2014.0,bastos et al.,needs_review,catalyst loading calc: 0.5 g/l × 50.0 ml = 25.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,high,0.5,1d3dab30d8a2991f,3.2,4.21,86.0,1.0,3.89,0.0,0.0,0.0,0.0,0.0,7.740360007767955
726,tio2,ag2o,,97.0,,,,nanocomposite,anatase-rutile,2.95,tio2/ag2o,hydrothermal,,0.0,impregnation,400.0,4.0,uv,hg lamp,400.0,400 w,,0,1,0,1,0,0.2,10.0,0.2 g/l,50.0,5.0,0.6847,5 vol%,25.0,,7270.4 μmol g⁻¹ h⁻¹,7270.4,10.1016/j.ijhydene.2014.07.073,https://doi.org/10.1016/j.ijhydene.2014.07.073,experimental design as a tool to study the reaction parameters in hydrogen production from photoinduced reforming of glycerol over cds photocatalyst,international journal of hydrogen energy,2014.0,bastos et al.,needs_review,catalyst loading calc: 0.2 g/l × 50.0 ml = 10.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,high,0.5,a39c2dbdc1818ec2,3.2,4.21,86.0,1.0,3.89,0.0,0.0,0.0,0.0,0.0,8.891704124202496
725,tio2,ag2o,,97.0,,,,nanocomposite,anatase-rutile,2.95,tio2/ag2o,hydrothermal,,0.0,impregnation,400.0,4.0,uv,hg lamp,400.0,400 w,,0,1,0,1,0,0.1,5.0,0.1 g/l,50.0,5.0,0.6847,5 vol%,25.0,,7030 μmol g⁻¹ h⁻¹,7030.0,10.1016/j.ijhydene.2014.07.073,https://doi.org/10.1016/j.ijhydene.2014.07.073,experimental design as a tool to study the reaction parameters in hydrogen production from photoinduced reforming of glycerol over cds photocatalyst,international journal of hydrogen energy,2014.0,bastos et al.,needs_review,catalyst loading calc: 0.1 g/l × 50.0 ml = 5.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,high,0.5,23b5597af33fe59f,3.2,4.21,86.0,1.0,3.89,0.0,0.0,0.0,0.0,0.0,8.858084222199162
719,tio2,,,100.0,,,,nanocomposite,anatase-rutile,3.22,tio2,,,0.0,hydrothermal,300.0,1.0,uv,hg lamp,400.0,400 w,,0,1,0,1,0,0.1,5.0,0.1 g/l,50.0,5.0,0.6847,5 vol%,25.0,,300 μmol g⁻¹ h⁻¹,300.0,10.1016/j.apcatb.2011.05.046,https://doi.org/10.1016/j.apcatb.2011.05.046,photocatalytic reforming of c3-polyols for h2 production: part (i). role of their oh groups,applied catalysis b: environmental,2011.0,fu et al.,needs_review,catalyst loading calc: 0.1 g/l × 50.0 ml = 5.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,low,high,0.5,4f57709a0b854240,3.2,4.21,86.0,1.0,3.89,0.0,0.0,0.0,0.0,0.0,5.707110264748875
718,tio2,,,100.0,,,,nanocomposite,anatase-rutile,3.2,tio2,,,0.0,hydrothermal,,0.0,uv,hg lamp,400.0,400 w,,0,1,0,1,0,0.1,5.0,0.1 g/l,50.0,5.0,0.6847,5 vol%,25.0,,350 μmol g⁻¹ h⁻¹,350.0,10.1016/j,https://doi.org/10.1016/j,needs_verification,international journal of hydrogen energy,2022.0,"zhong, w. et al.",needs_review,catalyst loading calc: 0.1 g/l × 50.0 ml = 5.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; co_catalyst set to 'none': bare semiconductor,high,medium,high,high,low,low,high,0.5,23ef2bf3bd18c523,3.2,4.21,86.0,1.0,3.89,0.0,0.0,0.0,0.0,0.0,5.860786223465865
714,tio2,cnt,,95.0,,,,nanoparticle,anatase,2.54,tio2/cnt,,,0.0,sol-gel,500.0,3.0,visible,xe lamp,35.0,35 w,420.0,1,0,0,0,1,0.83,99.6,0.83 g/l,120.0,10.0,1.3693,10 vol%,25.0,,9225 μmol g⁻¹ h⁻¹,9225.0,10.1016/j.ijhydene.2018.09.148,https://doi.org/10.1016/j.ijhydene.2018.09.148,challenges arising from the use of tio2/rgo/pt photocatalysts to produce hydrogen from crude glycerol compared to synthetic glycerol,international journal of hydrogen energy,2019.0,ribao et al.,needs_review,"catalyst loading calc: 0.83 g/l × 120.0 ml = 99.60 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; co_catalyst set to 'none': bare semiconductor; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff); doi resolved via crossref api",high,medium,high,high,medium,low,high,0.5,c20eabf392594b7a,3.2,4.21,86.0,1.0,3.89,0.0,0.0,0.0,0.0,0.0,9.129780864117766
713,tio2,,,100.0,,,,nanoparticle,anatase,3.1,tio2,,,0.0,sol-gel,500.0,3.0,visible,xe lamp,35.0,35 w,420.0,1,0,0,0,1,0.83,99.6,0.83 g/l,120.0,10.0,1.3693,10 vol%,25.0,,4253 μmol g⁻¹ h⁻¹,4253.0,10.1016/j.ijhydene.2018.09.148,https://doi.org/10.1016/j.ijhydene.2018.09.148,challenges arising from the use of tio2/rgo/pt photocatalysts to produce hydrogen from crude glycerol compared to synthetic glycerol,international journal of hydrogen energy,2019.0,ribao et al.,needs_review,"catalyst loading calc: 0.83 g/l × 120.0 ml = 99.60 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; co_catalyst set to 'none': bare semiconductor; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff); doi resolved via crossref api",high,medium,high,high,medium,low,high,0.5,f7a286098135de66,3.2,4.21,86.0,1.0,3.89,0.0,0.0,0.0,0.0,0.0,8.355614995760183
704,tio2,zno,,95.71,,,,nanocomposite,anatase,,tio2/zno,,,0.0,sol-gel,500.0,4.0,visible,xe lamp,350.0,350 w,420.0,1,0,0,0,1,0.2,20.0,0.2 g/l,100.0,10.0,1.3693,10 vol%,25.0,,90.3 μmol g⁻¹ h⁻¹,90.3,10.1016/j.cej.2017.02.033,https://doi.org/10.1016/j.cej.2017.02.033,improved hydrogen production from glycerol photoreforming over sol-gel derived tio2 coupled with metal oxides,chemical engineering journal,2017.0,wang et al.,needs_review,"catalyst loading calc: 0.2 g/l × 100.0 ml = 20.00 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m; co_catalyst set to 'none': bare semiconductor; wavelength_cutoff_nm=420nm inferred (xe lamp, visible cutoff); doi resolved via crossref api",high,medium,high,high,medium,low,low,0.5,670bc1d63b812f1d,3.2,4.21,86.0,1.0,3.89,0.0,0.0,0.0,0.0,0.0,4.514150787600923
